tokenId,ogRank,blockHeightMinted,blockTimestampMinted,owner
0,4042,18287765,1696550663,
1,1073,,,
3,8062,,,
2,3855,17139913,1682627627,0xe494d61977561d6be41590fbf940091bae6d392e
4,4566,,,
5,1611,,,
6,6921,,,
7,3539,,,
8,4071,17659447,1688945711,0xe494d61977561d6be41590fbf940091bae6d392e
9,8552,,,
10,4185,,,
11,6981,,,
12,114,17652174,1688857307,0xe494d61977561d6be41590fbf940091bae6d392e
13,5708,,,
14,1936,,,
15,4966,17139934,1682627879,0x62ae623146c469e8f5c9282dd7fe96e1bfb29580
16,3201,,,
17,3105,,,
18,2577,18451468,1698529643,0xe8fff56ebc79a8a66d2295750e7ec9991410c502
19,3200,,,
20,4705,,,
21,8326,,,
22,2294,,,
23,6165,,,
25,4301,,,
24,3940,,,
26,7496,,,
27,3647,,,
29,6217,,,
28,3605,,,
30,6636,,,
31,3993,,,
32,2169,,,
34,7460,17139934,1682627879,0x62ae623146c469e8f5c9282dd7fe96e1bfb29580
33,585,17146357,1682705879,0x9baf7c87825e382408a5c17d36af48d3c8a4756b
35,8602,,,
36,3379,,,
37,5752,,,
38,3771,,,
39,1495,,,
40,3119,,,
41,899,,,
42,1160,,,
43,7542,,,
44,3262,17139944,1682627999,0x62ae623146c469e8f5c9282dd7fe96e1bfb29580
45,5372,,,
46,1530,,,
47,6193,,,
48,1767,,,
49,6683,,,
50,7896,,,
51,907,,,
53,4475,,,
52,284,,,
54,5443,,,
55,2370,,,
56,586,,,
57,3304,,,
58,1592,17139297,1682620115,0x32aa0c9257b3d419ddde7652e5627bd42c39fb2b
59,2973,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
60,6900,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
61,7582,,,
62,2419,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
63,361,,,
64,8387,,,
65,4968,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
66,1556,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
67,6776,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
68,7553,,,
69,5062,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
70,1771,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
71,3402,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
72,6676,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
73,8332,,,
74,5529,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
75,5868,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
76,8145,,,
77,1916,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
78,6505,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
79,5414,,,
80,6672,,,
83,8163,18915316,1704145235,0x55611b747af18e27ba99c251377912fcd96ea656
81,7050,18915316,1704145235,0x55611b747af18e27ba99c251377912fcd96ea656
82,299,,,
84,3004,,,
85,1522,,,
86,8497,17139944,1682627999,0x62ae623146c469e8f5c9282dd7fe96e1bfb29580
87,1596,17155380,1682815463,0xc071823c582c2ecdfe5306f20af4e5bd3c51e25e
88,3752,,,
89,3146,,,
90,7910,,,
91,3958,,,
92,3709,,,
93,2751,,,
94,421,,,
95,7588,,,
96,5737,,,
97,3655,,,
98,893,,,
99,1555,18907591,1704051479,0x4119e300f51bdd6a8b8151232504aa08b263ead2
100,3690,,,
101,8603,18915316,1704145235,0x55611b747af18e27ba99c251377912fcd96ea656
102,3322,,,
103,1593,,,
104,2204,,,
106,2457,,,
105,3081,18788984,1702612679,0x32aa0c9257b3d419ddde7652e5627bd42c39fb2b
107,5059,,,
108,871,,,
109,1450,,,
110,6548,,,
111,7909,,,
112,1226,,,
113,4764,,,
114,8530,,,
115,4005,,,
116,4902,,,
117,560,17551989,1687641407,0x19b5707b7b0d46bd928ceaedf3fc5853f644d473
118,4961,,,
119,6467,,,
120,7818,,,
121,1969,,,
122,6250,,,
123,2263,,,
124,8522,18915316,1704145235,0x55611b747af18e27ba99c251377912fcd96ea656
125,1321,,,
126,8221,,,
127,5652,,,
128,5555,,,
129,7413,,,
130,5385,,,
131,8225,,,
132,6651,,,
133,7954,,,
134,5249,,,
135,414,17139297,1682620115,0x44e5cc68b6f3a620a817e3a90a90bcbf7c4fd2b9
136,1490,17139934,1682627879,0x62ae623146c469e8f5c9282dd7fe96e1bfb29580
137,6369,,,
138,3108,19101153,1706397815,0x443cf9f30e6327fd0454e83c664ce809649c4517
139,3871,,,
140,839,,,
141,8162,,,
142,2341,,,
143,8806,18506641,1699197443,0xf5346219b76f642609d29363be1bf64e37f0f3a5
144,8482,,,
145,4817,,,
146,7702,,,
147,6753,,,
148,8198,17139478,1682622323,0xf11cc36cc9e0f2925a3660d5e4dc6bb232cf2a57
149,1830,,,
150,5399,17155748,1682819903,0x34a978beab5b673c1e4d193f6b42d2c48ba2ba8b
151,2020,,,
152,6930,,,
153,6365,18224912,1695791243,0x19b5707b7b0d46bd928ceaedf3fc5853f644d473
154,8484,,,
155,1149,17155748,1682819903,0x34a978beab5b673c1e4d193f6b42d2c48ba2ba8b
156,8500,,,
157,4930,,,
158,325,17139769,1682625875,0x62ae623146c469e8f5c9282dd7fe96e1bfb29580
159,2428,,,
160,6423,,,
161,3002,,,
162,5140,,,
163,5935,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
164,1217,,,
165,7323,,,
166,5322,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
167,8520,,,
168,8177,,,
169,2511,17938996,1692329231,0x44e5cc68b6f3a620a817e3a90a90bcbf7c4fd2b9
170,4347,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
171,8725,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
172,3244,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
173,4303,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
174,149,,,
175,2008,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
176,2224,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
177,3206,18681149,1701307775,0xb104371d5a2680fb0d47ea9a3aa2348392454186
